     T,      X,      Y
 11.01,  -0.48,   0.00 
 11.04,  -0.24,   0.00 
 11.06,  -0.24,   0.00 
 11.09,  -0.48,   0.00 
 11.11,  -0.24,   0.00 
 11.13,  -0.24,  -0.24 
 11.15,  -0.24,  -0.24 
 11.17,  -0.24,  -0.24 
 11.20,  -0.24,   0.24 
 11.22,  -0.24,  -0.24 
 11.24,  -0.24,  -0.24 
 11.27,  -0.49,   0.00 
 11.29,  -0.49,   0.24 
 11.31,  -0.24,   0.00 
 11.33,  -0.24,  -0.24 
 11.35,  -0.24,   0.00 
 11.38,  -0.24,   0.00 
 11.40,  -0.24,   0.00 
 11.42,   0.00,   0.00 
 11.44,  -0.24,   0.00 
 11.46,  -0.24,   0.00 
 11.49,  -0.24,   0.00 
 11.51,  -0.24,   0.00 
 11.53,  -0.24,   0.00 
 11.56,  -0.24,  -0.24 
 11.58,  -0.24,   0.00 
 11.60,  -0.24,   0.00 
 11.62,  -0.24,   0.24 
 11.64,  -0.24,   0.00 
 11.67,  -0.73,   0.00 
 11.69,  -0.49,   0.00 
 11.71,  -0.24,   0.00 
 11.73,  -0.24,   0.00 
 11.75,  -0.24,   0.00 
 11.78,  -0.24,   0.00 
 11.80,   0.00,  -0.24 
 11.82,  -0.24,   0.00 
 11.84,  -0.25,   0.00 
 11.86,  -0.49,   0.00 
 11.89,  -0.48,   0.00 
 11.91,  -0.24,   0.00 
 11.94,  -0.24,   0.00 
 11.96,  -0.24,   0.00 
 11.98,  -0.24,   0.00 
 12.01,  -0.24,  -0.24 
 12.03,  -0.24,   0.00 
 12.05,  -0.24,   0.00 
 12.07,  -0.24,  -0.24 
 12.09,  -0.24,  -0.24 
 12.11,  -0.24,  -0.24 
 12.14,  -0.24,   0.00 
 12.16,  -0.49,   0.00 
 12.19,  -0.24,  -0.24 
 12.21,  -0.24,   0.00 
 12.24,  -0.49,   0.00 
 12.26,  -0.48,  -0.24 
 12.28,  -0.24,   0.00 
 12.30,  -0.24,   0.24 
 12.33,  -0.24,   0.00 
 12.37,  -0.48,   0.00 
 12.41,  -0.48,   0.24 
 12.43,  -0.24,   0.00 
 12.45,  -0.24,   0.00 
 12.47,  -0.24,  -0.49 
 12.50,  -0.24,   0.00 
 12.52,  -0.24,   0.00 
 12.54,  -0.24,   0.00 
 12.56,  -0.49,   0.00 
 12.58,  -0.24,   0.00 
 12.60,  -0.24,  -0.24 
 12.63,  -0.24,  -0.24 
 12.65,  -0.49,   0.00 
